B,JXD-139,50375303,64.82,2023-12-01,5
M,CRU-009,50375303,49.38,2023-11-26,1
A,YYK-309,22777006,69.37,2023-11-11,7
A,OTS-581,42157219,67.26,2023-11-07,7
M,AWB-345,13245501,67.6,2023-12-18,1
A,IHG-413,33397650,55.69,2023-12-24,10
A,KQQ-136,97403853,13.8,2023-12-17,5
B,OQI-373,78757121,25.17,2023-11-03,5
B,PVZ-181,26290971,89.72,2023-12-25,3
A,ICX-503,27912250,20.29,2023-12-27,10
A,DFF-034,98140264,59.57,2023-12-08,5
M,VCL-867,25171011,89.65,2023-11-05,0
A,TZY-323,57263719,40.29,2023-12-12,10
M,PJG-338,63437380,35.11,2023-11-09,1
A,SSD-176,35584593,81.61,2023-12-21,5
B,BWD-036,60574154,81.06,2023-11-05,5
M,FLJ-040,73535476,13.6,2023-11-18,0
B,JDC-028,31193794,62.23,2023-11-18,4
M,OTH-462,73185299,89.55,2023-12-01,1
B,QIL-029,86828079,14.43,2023-11-19,3
B,UWA-476,77484838,15.86,2023-11-28,5
B,XOA-735,13245501,81.75,2023-12-08,5
A,OBI-353,79901434,19.97,2023-12-29,10
M,AWB-345,16552775,26.73,2023-12-27,0
A,CSZ-863,57690875,23.8,2023-11-01,7
A,UWA-476,73535476,18.24,2023-11-07,7
B,MLE-193,87813843,25.13,2023-11-28,4
B,UOD-420,95751208,60.44,2023-12-08,5
B,KWP-672,87800799,51.7,2023-12-16,3
M,BXY-119,20864087,83.53,2023-11-30,1
B,KCO-488,46462527,62.23,2023-12-10,4
B,PQH-935,71984468,20.77,2023-12-28,4
A,GBJ-693,15561764,20.15,2023-12-29,10
B,XLF-273,43488351,83.48,2023-12-12,3
B,RSE-049,15210391,89.89,2023-11-30,5
A,CJE-310,79464412,36.3,2023-12-28,10
B,SJQ-827,76388967,81.96,2023-11-21,3
B,TKM-141,89148118,43.58,2023-11-08,5
A,EBI-299,76388967,72.17,2023-12-07,10
B,DFF-034,79140840,87.73,2023-11-02,5
M,SSD-176,37110873,68.32,2023-12-09,1
B,ZEX-027,43043986,83.86,2023-12-01,3
M,OBI-353,73914283,14.6,2023-11-15,1
M,SJD-818,41036366,67.67,2023-12-04,0
M,GLC-370,28390487,60.6,2023-11-24,1
B,YUQ-590,45783712,26.62,2023-11-23,4
B,QHC-492,29337157,90.37,2023-12-06,4
A,CIM-038,35565959,75.01,2023-12-05,10
B,CRU-009,96258632,81.64,2023-12-04,4
B,AHB-459,12663268,21.28,2023-11-14,3
A,MQR-442,86828079,99.66,2023-11-25,7
A,CNN-411,16552775,31.19,2023-12-25,5
A,AFL-718,50365593,23.65,2023-12-11,5
A,CIM-038,11602775,89.71,2023-12-30,7
M,XZR-640,78078115,89.72,2023-11-11,0
A,LDR-510,62324793,51.85,2023-12-21,10
B,QUU-384,37110873,28.27,2023-11-16,5
A,OWN-701,36380447,91.67,2023-11-07,5
B,BTO-226,77484838,48.31,2023-12-28,3
M,BRD-969,98140264,46.86,2023-12-28,0
A,ZEX-027,29337157,28.77,2023-12-19,10
M,DFJ-952,84165595,34.62,2023-12-07,1
B,RDT-761,84165595,28.77,2023-12-22,3
B,TMN-884,88956889,93.51,2023-12-17,3
B,FEG-454,59162728,93.3,2023-12-05,3
M,JDC-028,50365593,24.16,2023-11-01,0
M,JCW-489,69324480,90.42,2023-12-09,0
B,KWP-672,46462527,82.76,2023-11-04,3
B,VDD-853,49087435,42.82,2023-11-07,4
M,ZEX-027,79901434,11.55,2023-11-13,1
M,ZVA-180,33713901,54.2,2023-12-02,1
A,KQA-580,50375303,35.79,2023-11-01,5
A,QUU-384,77642521,67.54,2023-12-23,7
M,TKM-141,78922174,42.41,2023-11-14,1
M,NMV-644,94080926,29.67,2023-12-03,0
A,CIM-038,93845419,78.91,2023-12-14,7
A,TYF-885,62566305,50.44,2023-12-29,5
M,OQI-373,86402303,56.46,2023-12-21,0
M,AHB-459,79901434,96.3,2023-11-14,1
M,IDO-503,32565207,77.9,2023-12-03,0
B,BCK-361,49087435,47.48,2023-11-18,5
B,TYF-885,83505958,11.6,2023-11-18,3
A,OPT-996,25171011,58.82,2023-11-09,7
A,VVS-017,45877001,39.17,2023-11-11,10
B,QUU-384,67418025,49.63,2023-12-16,3
A,YOT-530,43053402,86.72,2023-12-21,7
B,ISU-815,52097922,13.61,2023-11-29,5
A,III-576,63437380,73.89,2023-12-02,5
B,LWG-915,50365593,53.32,2023-12-19,3
A,BWD-036,57263719,17.04,2023-12-18,10
A,AFL-718,78922174,10.98,2023-11-22,10
A,AWB-345,63437380,13.01,2023-11-04,7
A,YYU-726,12663268,72.1,2023-12-20,7
B,JJN-837,11602775,12.24,2023-11-30,5
A,ZWF-661,17972674,25.67,2023-12-15,7
M,EJW-346,83505958,55.69,2023-11-12,0
